id,createdDate,updatedDate,deletedDate,name,url,glassId
1,2021-11-27 13:25:08.254989,2021-11-27 13:25:08.254989,,Paper Plane,https://www.liquor.com/recipes/the-paper-plane/,1
3,2021-11-27 17:22:10.946696,2021-11-27 17:22:10.946696,,Aviation,https://www.liquor.com/recipes/aviation/,2
4,2021-11-27 17:52:57.687573,2021-11-27 17:52:57.687573,,Negroni,https://www.liquor.com/recipes/negroni/,4
5,2021-11-27 18:06:52.102046,2021-11-27 18:06:52.102046,,Dry Martini,https://www.liquor.com/recipes/dry-martini/,3
7,2021-11-27 18:16:25.810017,2021-11-27 18:16:25.810017,,Last Word,https://www.liquor.com/recipes/the-last-word/,1
8,2021-11-27 18:30:02.517958,2021-11-27 18:30:02.517958,,Old Fashioned,https://www.liquor.com/recipes/bourbon-old-fashioned/,4
9,2021-11-27 18:34:09.28066,2021-11-27 18:34:09.28066,,Manhattan,https://www.liquor.com/recipes/manhattan-2/,1
10,2021-11-27 18:50:02.089871,2021-11-27 18:50:02.089871,,Dirty Martini,https://www.liquor.com/recipes/dirty-martini/,3
12,2021-11-27 18:53:24.932511,2021-11-27 18:53:24.932511,,Dirty Vodka Martini,https://www.allrecipes.com/recipe/32238/dirty-martini/,3
13,2021-11-27 19:04:16.466156,2021-11-27 19:04:16.466156,,Espresso Martini,https://www.liquor.com/recipes/espresso-martini-2/,3
14,2021-11-28 20:35:00.234098,2021-11-28 20:35:00.234098,,Rye Old Fashioned,https://cooking.nytimes.com/recipes/1012569-rye-old-fashioned,4
15,2021-11-28 20:59:09.672557,2021-11-28 20:59:09.672557,,Rusty Nail,https://www.liquor.com/recipes/rusty-nail/,4
16,2021-11-28 21:07:59.214446,2021-11-28 21:07:59.214446,,Corpse Reviver No. 2,https://www.liquor.com/recipes/corpse-reviver-no-2/,1
17,2021-11-28 21:16:01.516864,2021-11-28 21:16:01.516864,,Aperol Spritz,https://www.liquor.com/recipes/aperol-spritz/,6
18,2021-11-28 21:19:27.647002,2021-11-28 21:19:27.647002,,Black Manhattan,https://www.liquor.com/black-manhattan-cocktail-recipe-5184291,1
