id,createdDate,updatedDate,deletedDate,amount,upperRangeAmount,drinkId,ingredientId,unitId
4,2021-11-27 13:26:18.533907,2021-11-27 13:26:18.533907,,0.75,,1,1,1
5,2021-11-27 13:26:18.533907,2021-11-27 13:26:18.533907,,0.75,,1,2,1
6,2021-11-27 13:26:18.533907,2021-11-27 13:26:18.533907,,0.75,,1,5,1
7,2021-11-27 13:26:18.533907,2021-11-27 13:26:18.533907,,0.75,,1,7,1
8,2021-11-27 17:22:10.946696,2021-11-27 17:22:10.946696,,2,,3,8,1
9,2021-11-27 17:22:10.946696,2021-11-27 17:22:10.946696,,0.5,,3,9,1
10,2021-11-27 17:22:10.946696,2021-11-27 17:22:10.946696,,0.25,,3,10,1
11,2021-11-27 17:22:10.946696,2021-11-27 17:22:10.946696,,0.75,,3,7,1
12,2021-11-27 17:22:10.946696,2021-11-27 17:22:10.946696,,1,,3,11,2
16,2021-11-27 17:55:55.253142,2021-11-27 17:55:55.253142,,1,,4,8,1
17,2021-11-27 17:55:55.253142,2021-11-27 17:55:55.253142,,1,,4,12,1
18,2021-11-27 17:55:55.253142,2021-11-27 17:55:55.253142,,1,,4,13,1
19,2021-11-27 17:55:55.253142,2021-11-27 17:55:55.253142,,1,,4,14,2
22,2021-11-27 18:08:05.551937,2021-11-27 18:08:05.551937,,2.5,,5,8,1
23,2021-11-27 18:08:05.551937,2021-11-27 18:08:05.551937,,0.5,,5,15,1
24,2021-11-27 18:08:05.551937,2021-11-27 18:08:05.551937,,1,,5,16,3
25,2021-11-27 18:08:05.551937,2021-11-27 18:08:05.551937,,1,,5,17,2
26,2021-11-27 18:16:25.810017,2021-11-27 18:16:25.810017,,0.75,,7,8,1
27,2021-11-27 18:16:25.810017,2021-11-27 18:16:25.810017,,0.75,,7,18,1
28,2021-11-27 18:16:25.810017,2021-11-27 18:16:25.810017,,0.75,,7,9,1
29,2021-11-27 18:16:25.810017,2021-11-27 18:16:25.810017,,0.75,,7,20,1
30,2021-11-27 18:16:25.810017,2021-11-27 18:16:25.810017,,1,,7,11,2
31,2021-11-27 18:30:02.517958,2021-11-27 18:30:02.517958,,2,,8,22,3
32,2021-11-27 18:30:02.517958,2021-11-27 18:30:02.517958,,3,,8,21,3
33,2021-11-27 18:30:02.517958,2021-11-27 18:30:02.517958,,3,,8,23,3
34,2021-11-27 18:30:02.517958,2021-11-27 18:30:02.517958,,2,,8,1,1
35,2021-11-27 18:30:02.517958,2021-11-27 18:30:02.517958,,1,,8,14,2
36,2021-11-27 18:34:09.28066,2021-11-27 18:34:09.28066,,2,,9,1,1
37,2021-11-27 18:34:09.28066,2021-11-27 18:34:09.28066,,1,,9,13,1
38,2021-11-27 18:34:09.28066,2021-11-27 18:34:09.28066,,2,,9,21,3
39,2021-11-27 18:34:09.28066,2021-11-27 18:34:09.28066,,1,,9,16,3
40,2021-11-27 18:34:09.28066,2021-11-27 18:34:09.28066,,1,,9,11,2
41,2021-11-27 18:50:02.089871,2021-11-27 18:50:02.089871,,2.5,,10,8,1
42,2021-11-27 18:50:02.089871,2021-11-27 18:50:02.089871,,0.5,,10,15,1
43,2021-11-27 18:50:02.089871,2021-11-27 18:50:02.089871,,0.5,,10,24,1
44,2021-11-27 18:50:02.089871,2021-11-27 18:50:02.089871,,2,4,10,25,2
45,2021-11-27 18:53:24.932511,2021-11-27 18:53:24.932511,,2.5,,12,26,1
46,2021-11-27 18:53:24.932511,2021-11-27 18:53:24.932511,,0.5,,12,15,1
47,2021-11-27 18:53:24.932511,2021-11-27 18:53:24.932511,,0.5,,12,24,1
48,2021-11-27 18:53:24.932511,2021-11-27 18:53:24.932511,,2,4,12,25,2
49,2021-11-27 19:04:16.466156,2021-11-27 19:04:16.466156,,2,,13,26,1
50,2021-11-27 19:04:16.466156,2021-11-27 19:04:16.466156,,0.5,,13,27,1
51,2021-11-27 19:04:16.466156,2021-11-27 19:04:16.466156,,1,,13,29,1
52,2021-11-27 19:04:16.466156,2021-11-27 19:04:16.466156,,0.5,,13,31,1
53,2021-11-27 19:04:16.466156,2021-11-27 19:04:16.466156,,3,5,13,30,2
