id,createdDate,updatedDate,deletedDate,name,color
3,2021-11-27 13:06:27.895139,2021-11-27 13:06:27.895139,,Whiskey,cc7415
4,2021-11-27 13:12:13.291734,2021-11-27 13:12:13.291734,,Amaro,6c3842
2,2021-11-27 13:04:38.195719,2021-11-27 16:56:50.273757,,Aperol,fb431f
5,2021-11-27 13:13:51.904103,2021-11-27 17:06:49.911697,,Nonino Amaro,e75200
8,2021-11-27 17:08:23.288068,2021-11-27 17:08:23.288068,,Gin,""
9,2021-11-27 17:09:45.41665,2021-11-27 17:09:45.41665,,Maraschino Liqueur,""
11,2021-11-27 17:18:07.59977,2021-11-27 17:18:07.59977,,Branded Cherry/Cherries,860018
7,2021-11-27 13:20:07.674599,2021-11-27 17:27:59.851089,,"Lemon juice, freshly squeezed",fff7ba
6,2021-11-27 13:17:11.497213,2021-11-27 17:28:21.859362,,Lemon Juice,fff7ba
10,2021-11-27 17:12:00.794321,2021-11-27 17:29:23.171786,,Crème de Violette,882ca2
12,2021-11-27 17:47:25.218373,2021-11-27 17:47:25.218373,,Campari,cd1e15
13,2021-11-27 17:51:05.035816,2021-11-27 17:51:05.035816,,Sweet Vermouth,c35518
16,2021-11-27 18:02:36.439485,2021-11-27 18:02:36.439485,,Orange Bitters,eadd16
17,2021-11-27 18:04:40.058972,2021-11-27 18:05:39.810175,,Lemon Twist,f0d228
14,2021-11-27 17:55:34.557136,2021-11-27 18:05:56.588437,,Orange Peel,f19e07
15,2021-11-27 18:00:00.537165,2021-11-27 18:09:44.198277,,Dry Vermouth,f6f8eb
18,2021-11-27 18:12:48.504636,2021-11-27 18:12:48.504636,,Green Chartreuse,91c818
19,2021-11-27 18:14:03.635167,2021-11-27 18:14:03.635167,,Lime Juice,ffffc0
20,2021-11-27 18:14:23.451497,2021-11-27 18:14:23.451497,,"Lime Juice, freshly squeezed",ffffc0
21,2021-11-27 18:22:15.237736,2021-11-27 18:22:15.237736,,Angostura Bitters,a52c01
22,2021-11-27 18:23:11.711473,2021-11-27 18:23:11.711473,,Sugar,""
23,2021-11-27 18:24:04.720969,2021-11-27 18:24:04.720969,,Water,""
1,2021-11-27 13:00:01.287554,2021-11-27 18:35:36.700761,,Bourbon,c43019
24,2021-11-27 18:46:30.534852,2021-11-27 18:46:30.534852,,Olive Brine,b2a66c
25,2021-11-27 18:47:57.778547,2021-11-27 18:47:57.778547,,Green Olive(s),c2c83b
26,2021-11-27 18:50:37.517525,2021-11-27 18:50:37.517525,,Vodka,""
27,2021-11-27 18:56:30.360877,2021-11-27 18:56:30.360877,,Coffee Liqueur,934802
28,2021-11-27 18:57:08.020289,2021-11-27 18:57:08.020289,,Kahlúa,934802
29,2021-11-27 18:58:01.665173,2021-11-27 18:58:01.665173,,Espresso,702e01
30,2021-11-27 19:00:46.619169,2021-11-27 19:00:46.619169,,Coffee Beans,5f3020
31,2021-11-27 19:02:48.03219,2021-11-27 19:02:48.03219,,Simple Syrup,""
